Product ID,Category,Sub-Category,Product Name,State,Price per product
FUR-CH-10002961,Furniture,Chairs,"Leather Task Chair, Black",New York,81.882
TEC-AC-10004659,Technology,Accessories,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,Oklahoma,72.99
OFF-BI-10002824,Office Supplies,Binders,Recycled Easel Ring Binders,Colorado,4.25
OFF-PA-10003349,Office Supplies,Paper,Xerox 1957,Florida,5.184
TEC-AC-10003023,Technology,Accessories,Logitech G105 Gaming Keyboard,Ohio,47.496
OFF-BI-10004233,Office Supplies,Binders,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",New Jersey,15.99
OFF-PA-10004470,Office Supplies,Paper,"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages",New York,5.5
FUR-FU-10001196,Furniture,Furnishings,DAX Cubicle Frames - 8x10,Indiana,5.77
OFF-ST-10000585,Office Supplies,Storage,Economy Rollaway Files,Kentucky,165.2
OFF-ST-10003996,Office Supplies,Storage,"Letter/Legal File Tote with Clear Snap-On Lid, Black Granite",Washington,16.06
OFF-FA-10002280,Office Supplies,Fasteners,Advantus Plastic Paper Clips,Pennsylvania,4
OFF-BI-10001989,Office Supplies,Binders,Premium Transparent Presentation Covers by GBC,California,16.784
OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,Arizona,4.545
TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,New Jersey,15
FUR-FU-10001967,Furniture,Furnishings,Telescoping Adjustable Floor Lamp,New York,19.99
FUR-FU-10003806,Furniture,Furnishings,"Tenex Chairmat w/ Average Lip, 45"" x 53""",Texas,60.4
OFF-BI-10004139,Office Supplies,Binders,Fellowes Presentation Covers for Comb Binding Machines,Illinois,2.91
OFF-ST-10000991,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,Washington,114.97
OFF-BI-10001524,Office Supplies,Binders,GBC Premium Transparent Covers with Diagonal Lined Pattern,New York,16.784
OFF-BI-10004364,Office Supplies,Binders,Storex Dura Pro Binders,Virginia,5.94
FUR-FU-10000308,Furniture,Furnishings,Deflect-o Glass Clear Studded Chair Mats,Wisconsin,62.18
TEC-PH-10003273,Technology,Phones,AT&T TR1909W,Louisiana,125.99
OFF-AR-10004752,Office Supplies,Art,Blackstonian Pencils,Maryland,2.67
OFF-PA-10001125,Office Supplies,Paper,Xerox 1988,North Carolina,24.784
FUR-TA-10003748,Furniture,Tables,Bevis 36 x 72 Conference Tables,Washington,124.4615385
OFF-BI-10003091,Office Supplies,Binders,GBC DocuBind TL200 Manual Binding Machine,Michigan,223.98
FUR-CH-10004875,Furniture,Chairs,Harbour Creations 67200 Series Stacking Chairs,Michigan,71.18
OFF-AP-10002651,Office Supplies,Appliances,Hoover Upright Vacuum With Dirt Cup,Texas,57.906
OFF-PA-10002659,Office Supplies,Paper,Avoid Verbal Orders Carbonless Minifold Book,Delaware,3.38
FUR-CH-10004860,Furniture,Chairs,Global Low Back Tilter Chair,New Jersey,100.98
TEC-PH-10004897,Technology,Phones,Mediabridge Sport Armband iPhone 5s,Kentucky,9.99
OFF-AR-10003045,Office Supplies,Art,Prang Colored Pencils,Maryland,2.8
OFF-BI-10001718,Office Supplies,Binders,GBC DocuBind P50 Personal Binding Machine,North Carolina,19
OFF-PA-10004381,Office Supplies,Paper,14-7/8 x 11 Blue Bar Computer Printout Paper,Florida,38.432
TEC-PH-10000730,Technology,Phones,Samsung Galaxy S4 Active,Maryland,499.99
OFF-BI-10004593,Office Supplies,Binders,Ibico Laser Imprintable Binding System Covers,Colorado,15.72
TEC-PH-10002660,Technology,Phones,Nortel Networks T7316 E Nt8 B27,Michigan,67.99
OFF-EN-10003001,Office Supplies,Envelopes,Ames Color-File Green Diamond Border X-ray Mailers,Texas,67.184
FUR-BO-10003034,Furniture,Bookcases,"O'Sullivan Elevations Bookcase, Cherry Finish",New York,104.784
OFF-PA-10001878,Office Supplies,Paper,Xerox 1891,Texas,39.128
OFF-BI-10003707,Office Supplies,Binders,Aluminum Screw Posts,Texas,3.052
OFF-BI-10001249,Office Supplies,Binders,Avery Heavy-Duty EZD View Binder with Locking Rings,Illinois,1.276
FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,California,189.576
FUR-BO-10001972,Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,Ohio,60.4
FUR-FU-10001756,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",Texas,7.616
TEC-AC-10000682,Technology,Accessories,Kensington K72356US Mouse-in-a-Box USB Desktop Mouse,California,16.59
TEC-AC-10004666,Technology,Accessories,Maxell iVDR EX 500GB Cartridge,Maryland,275.3333333
FUR-FU-10004270,Furniture,Furnishings,"Eldon Image Series Desk Accessories, Burgundy",Texas,1.672
OFF-LA-10001158,Office Supplies,Labels,"Avery Address/Shipping Labels for Typewriters, 4"" x 2""",Texas,8.28
OFF-LA-10004345,Office Supplies,Labels,Avery 493,Texas,3.928
TEC-AC-10001314,Technology,Accessories,Case Logic 2.4GHz Wireless Keyboard,North Carolina,39.992
OFF-AR-10003752,Office Supplies,Art,Deluxe Chalkboard Eraser Cleaner,California,11.55
OFF-ST-10004835,Office Supplies,Storage,Plastic Stacking Crates & Casters,Texas,4
OFF-PA-10000659,Office Supplies,Paper,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",Texas,14.016
FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,New York,3.08
OFF-BI-10003727,Office Supplies,Binders,Avery Durable Slant Ring Binders With Label Holder,Tennessee,1.254
FUR-FU-10002396,Furniture,Furnishings,"DAX Copper Panel Document Frame, 5 x 7 Size",Texas,5.032
FUR-CH-10003379,Furniture,Chairs,Global Commerce Series High-Back Swivel/Tilt Chairs,New Jersey,284.6666667
FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,Arizona,103.992
OFF-PA-10003039,Office Supplies,Paper,Xerox 1960,California,30.98
OFF-PA-10002230,Office Supplies,Paper,Xerox 1897,Ohio,3.984
OFF-PA-10002923,Office Supplies,Paper,Xerox 1942,California,48.94
TEC-MA-10003173,Technology,Machines,Hewlett-Packard 300S Scientific Calculator,New York,13
OFF-PA-10004243,Office Supplies,Paper,Xerox 1939,New Jersey,18.97
OFF-AR-10000940,Office Supplies,Art,Newell 343,Wisconsin,2.94
OFF-BI-10003007,Office Supplies,Binders,"Premium Transparent Presentation Covers, No Pattern/Clear, 8 1/2"" x 11""",California,31.024
FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,Idaho,348
FUR-FU-10004587,Furniture,Furnishings,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",Texas,8.376
FUR-TA-10001889,Furniture,Tables,Bush Advantage Collection Racetrack Conference Table,Arizona,212.105
FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Florida,7.5
OFF-PA-10001801,Office Supplies,Paper,Xerox 193,South Carolina,5.98
FUR-CH-10002017,Furniture,Chairs,SAFCO Optional Arm Kit for Workspace Cribbage Stacking Chair,Michigan,26.64
OFF-BI-10000315,Office Supplies,Binders,Poly Designer Cover & Back,Texas,3.798
OFF-ST-10000649,Office Supplies,Storage,Hanging Personal Folder File,Ohio,12.5
OFF-BI-10002931,Office Supplies,Binders,"Avery Trapezoid Extra Heavy Duty 4"" Binders",Colorado,12.582
OFF-PA-10004911,Office Supplies,Paper,"Rediform S.O.S. 1-Up Phone Message Bk, 4-1/4x3-1/16 Bk, 1 Form/Pg, 40 Messages/Bk, 3/Pk",New York,9.38
TEC-PH-10001448,Technology,Phones,Anker Astro 15000mAh USB Portable Charger,California,39.992
TEC-AC-10000927,Technology,Accessories,Anker Ultrathin Bluetooth Wireless Keyboard Aluminum Cover with Stand ,Arkansas,29.99
OFF-ST-10003455,Office Supplies,Storage,"Tenex File Box, Personal Filing Tote with Lid, Black",Illinois,12.25
FUR-BO-10004357,Furniture,Bookcases,O'Sullivan Living Dimensions 3-Shelf Bookcases,California,170.833
OFF-PA-10000675,Office Supplies,Paper,Xerox 1919,Massachusetts,40.99
FUR-CH-10002317,Furniture,Chairs,Global Enterprise Series Seating Low-Back Swivel/Tilt Chairs,California,207
OFF-EN-10001099,Office Supplies,Envelopes,Staple envelope,Texas,7.824
OFF-FA-10002676,Office Supplies,Fasteners,Colored Push Pins,California,1.81
TEC-PH-10002824,Technology,Phones,Jabra SPEAK 410 Multidevice Speakerphone,Ohio,123.3333333
OFF-SU-10000646,Office Supplies,Supplies,Premier Automatic Letter Opener,Ohio,192.296
TEC-AC-10002345,Technology,Accessories,HP Standard 104 key PS/2 Keyboard,California,14.5
FUR-FU-10002960,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Burgundy",Ohio,5.024
OFF-PA-10002250,Office Supplies,Paper,Things To Do Today Pad,New York,5.87
TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,New York,45.99
OFF-PA-10003625,Office Supplies,Paper,Xerox 1979,California,30.98
TEC-PH-10001750,Technology,Phones,Samsung Rugby III,Arizona,52.792
OFF-PA-10003309,Office Supplies,Paper,Xerox 211,California,6
OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Alabama,208
OFF-BI-10000545,Office Supplies,Binders,GBC Ibimaster 500 Manual ProClick Binding System,Pennsylvania,228.294
TEC-PH-10003092,Technology,Phones,Motorola L804,Pennsylvania,27.594
OFF-AP-10000124,Office Supplies,Appliances,Acco 6 Outlet Guardian Basic Surge Suppressor,Texas,1.664
OFF-BI-10004632,Office Supplies,Binders,Ibico Hi-Tech Manual Binding System,California,243.992
OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",California,6.35
OFF-ST-10001809,Office Supplies,Storage,Fellowes Officeware Wire Shelving,Texas,71.864
FUR-TA-10001768,Furniture,Tables,Hon Racetrack Conference Tables,North Carolina,157.5
OFF-AR-10000716,Office Supplies,Art,DIXON Ticonderoga Erasable Checking Pencils,New York,5.5
TEC-AC-10001772,Technology,Accessories,Memorex Mini Travel Drive 16 GB USB 2.0 Flash Drive,California,15.97
FUR-CH-10001708,Furniture,Chairs,Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,New York,126.882
